Sl.No,City,State,Charger Name,Address,Latitude,Longitude,Pincode,Charger Type,Qty,Mobile App,CPO Name,Make of Charger
,,,,,,,,CHAdeMO 60kW,1,chargeMOD,KSEB,Tirex
,,,,,,,,GB/T 15kW,3,chargeMOD,KSEB,Tirex
,,,,,,,,Type 2 22kW,1,chargeMOD,KSEB,Tirex
45,Kozhikode,Kerala,KSEB DC Ramanattukara,"Krishi Bhavan Rd, Poovannur Palli, Ramanattukara, Kozhikode",11.178697,75.86296,673632,CCS 2 30kW,1,chargeMOD,KSEB,Tirex
,,,,,,,,CHAdeMO 60kW,1,chargeMOD,KSEB,Tirex
,,,,,,,,GB/T 15kW,3,chargeMOD,KSEB,Tirex
,,,,,,,,Type 2 22kW,1,chargeMOD,KSEB,Tirex
46,Kozhikode,Kerala,KSEB DC Adivaram,"Near KSEB Section, Engapuzha, Kedavur, Adivaram, Kozhikode",11.46770872,75.96960002,673586,,,chargeMOD,KSEB,Tirex
47,Thiruvananthapuram,Kerala,KSEB DC Avanavanchery,"Near KSEB 110kV Sub Station, Avanavanchery, Attingal, Thiruvananthapuram",8.691063,76.848526,695103,CCS 2 30kW,1,chargeMOD,KSEB,Tirex
,,,,,,,,CHAdeMO 60kW,1,chargeMOD,KSEB,Tirex
,,,,,,,,GB/T 15kW,3,chargeMOD,KSEB,Tirex
,,,,,,,,Type 2 22kW,1,chargeMOD,KSEB,Tirex
48,Kozhikode,Kerala,KSEB DC Koyilandy,"Near 110kV Sub Station, Ulliyeri, Kozhikode",11.446535,75.740436,673327,GB/T 15kW,5,chargeMOD,KSEB,Tirex
,,,,,,,,Type 2 22kW,1,chargeMOD,KSEB,Tirex
,,,,,,,,Level 1 3.3kW,6,chargeMOD,KSEB,Tirex
49,Malappuram,Kerala,KSEB DC Ponnani,"Near KSEB Sub Station, Ponnani, Malappuram",10.772645,75.947164,679586,CCS 2 30kW,1,chargeMOD,KSEB,Tirex
,,,,,,,,CHAdeMO 60kW,1,chargeMOD,KSEB,Tirex
,,,,,,,,GB/T 15kW,3,chargeMOD,KSEB,Tirex
,,,,,,,,Type 2 22kW,1,chargeMOD,KSEB,Tirex
50,Kozhikode,Kerala,KSEB DC Gandhi Road,"Gandhi Road, Vellayil, Kozhikode",11.262863,75.768144,673032,CCS 2 30kW,1,chargeMOD,KSEB,Tirex
,,,,,,,,CHAdeMO 60kW,1,chargeMOD,KSEB,Tirex
,,,,,,,,GB/T 15kW,3,chargeMOD,KSEB,Tirex
,,,,,,,,Type 2 22kW,1,chargeMOD,KSEB,Tirex
51,Kannur,Kerala,KSEB DC Kannur,"Near Sub Station, Manjappalam, Kannur",11.878202,75.359486,670014,CCS 2 30kW,1,chargeMOD,KSEB,Tirex
,,,,,,,,CHAdeMO 60kW,1,chargeMOD,KSEB,Tirex
,,,,,,,,GB/T 15kW,3,chargeMOD,KSEB,Tirex
,,,,,,,,Type 2 22kW,1,chargeMOD,KSEB,Tirex
52,Kannur,Kerala,KSEB DC Valapattanam,"Near KSEB Section, Valappattanam, Kannur",11.91853,75.35122,670010,CCS 2 30kW,1,chargeMOD,KSEB,Tirex
,,,,,,,,CHadeMO 60kW,1,chargeMOD,KSEB,Tirex
,,,,,,,,GB/T 15kW,3,chargeMOD,KSEB,Tirex
,,,,,,,,Type 2 22kW,1,chargeMOD,KSEB,Tirex
53,Thrissur,Kerala,KSEB DC Kodungallur,"Near KSEB Office, Kodungalloor, Thrissur",10.227655,6.212044,680664,CCS 2 30kW,1,chargeMOD,KSEB,Tirex
,,,,,,,,CHAdeMO 60kW,1,chargeMOD,KSEB,Tirex
,,,,,,,,GB/T 15kW,3,chargeMOD,KSEB,Tirex
,,,,,,,,Type 2 22kW,1,chargeMOD,KSEB,Tirex
54,Thrissur,Kerala,KSEB DC Kandassankadav,"F4J5+2MJ, Manalur, Thrissur",10.48002584,76.10913916,680612,GB/T 15kW,5,chargeMOD,KSEB,Indus-Delta
,,,,,,,,Type 2 7kW,1,chargeMOD,KSEB,Indus-Delta
,,,,,,,,Level 1 3.3kW,2,chargeMOD,KSEB,Indus-Delta
55,Thrissur,Kerala,KSEB DC Madakkatara,"Near KSEB Sub Station, Thrissur",10.56063971,76.27007243,680656,CCS 2 30kW ,1,Kurrent Charge,KSEB,Indus-Delta
,,,,,,,,CHAdeMO 60kW,1,Kurrent Charge,KSEB,Indus-Delta
,,,,,,,,GB/T 15kW,4,Kurrent Charge,KSEB,Indus-Delta
,,,,,,,,Type 2 22kW,1,Kurrent Charge,KSEB,Indus-Delta
56,Thrissur,Kerala,KSEB DC Kunnamkulam,"Near KSEB Sub Station, Kanipayyur, Thrissur",10.63292173,76.0857441,680517,CCS 2 30kW ,1,Kurrent Charge,KSEB,Indus-Delta
,,,,,,,,CHAdeMO 60kW,1,Kurrent Charge,KSEB,Indus-Delta
,,,,,,,,GB/T 15kW,4,Kurrent Charge,KSEB,Indus-Delta
,,,,,,,,Type 2 22kW,1,Kurrent Charge,KSEB,Indus-Delta
57,Thrissur,Kerala,KSEB DC Chalakudy,"Near KSEB Sub Station, Chalakudy - Anamala Rd, Chalakudy, Thrissur",10.31126056,76.34021998,680307,CCS 2 30kW ,1,Kurrent Charge,KSEB,Indus-Delta
,,,,,,,,CHAdeMO 60kW,1,Kurrent Charge,KSEB,Indus-Delta
,,,,,,,,GB/T 15kW,4,Kurrent Charge,KSEB,Indus-Delta
,,,,,,,,Type 2 22kW,1,Kurrent Charge,KSEB,Indus-Delta
58,Thrissur,Kerala,KSEB DC Valappad,"Near KSEB Sub Station, Substation Quarters Rd, Valapad, Thrissur",10.40156896,76.11916768,680567,CCS 2 30kW ,1,Kurrent Charge,KSEB,Indus-Delta
,,,,,,,,CHAdeMO 60kW,1,Kurrent Charge,KSEB,Indus-Delta
,,,,,,,,GB/T 15kW,4,Kurrent Charge,KSEB,Indus-Delta
,,,,,,,,Type 2 22kW,1,Kurrent Charge,KSEB,Indus-Delta
59,Thrissur,Kerala,KSEB DC Thrissur,"Near Vydyuthi Bhavan, Kottappuram Rd, Kottappuram, Thrissur",10.52795309,76.20535481,680004,CCS 2 30kW ,1,Kurrent Charge,KSEB,Indus-Delta
,,,,,,,,CHAdeMO 60kW,1,Kurrent Charge,KSEB,Indus-Delta
,,,,,,,,GB/T 15kW,4,Kurrent Charge,KSEB,Indus-Delta
,,,,,,,,Type 2 22kW,1,Kurrent Charge,KSEB,Indus-Delta
60,Thrissur,Kerala,KSEB DC Irinjalakkuda,"Near KSEB Sub Station, Irinjalakuda - Kodungallur Rd, Kolothumpady, Irinjalakuda, Thrissur",10.33147081,76.21533034,680121,CCS 2 30kW ,1,Kurrent Charge,KSEB,Indus-Delta
,,,,,,,,CHAdeMO 60kW,1,Kurrent Charge,KSEB,Indus-Delta
,,,,,,,,GB/T 15kW,4,Kurrent Charge,KSEB,Indus-Delta
,,,,,,,,Type 2 22kW,1,Kurrent Charge,KSEB,Indus-Delta
61,Thrissur,Kerala,KSEB DC Ollur,"Near KSEB Office, Ollur Industrial Estate, Ollur, Thrissur",10.4669143,76.24531684,680306,CCS 2 30kW ,1,Kurrent Charge,KSEB,Indus-Delta
,,,,,,,,CHAdeMO 60kW,1,Kurrent Charge,KSEB,Indus-Delta
,,,,,,,,GB/T 15kW,4,Kurrent Charge,KSEB,Indus-Delta
,,,,,,,,Type 2 22kW,1,Kurrent Charge,KSEB,Indus-Delta
62,Thrissur,Kerala,KSEB DC Wadakkanchery,"Vadakkanchery - Padur Rd, Karayankadu, Vadakkencherry, Thrissur",10.59755483,76.47980377,678683,GB/T 15kW,5,Kurrent Charge,KSEB,Indus-Delta
,,,,,,,,Type 2 7kW,1,Kurrent Charge,KSEB,Indus-Delta
,,,,,,,,Level 1 3.3kW,2,Kurrent Charge,KSEB,Indus-Delta
63,Palakkad,Kerala,KSEB DC Vadakarapathy,"Nattukal Coimbatore Road, SH26, Opp Oliva Fuels, Palakkad",10.80948128,76.84632794,678557,,,chargeMOD,KSEB,
